OBJECTID,ACCIDENT_NO,ACCIDENT_DATE,FD_FIRST_DATE_OF_YEAR,FD_YESTERDAY_DATE_OF_YEAR,INCLUDE_IN_EQUIVALENT_PERIOD,ACCIDENT_TIME,NODE_ID,PERSON_ID,SEX,AGE,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,NO_OF_VEHICLES,LGA_NAME,STAT_DIV_NAME,NODE_TYPE,NODE_TYPE_DESC,ROAD_NUM,ROAD_TYPE,X,Y,LOCATION_COUNT
1995210,T20190002572,1549756800000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,130000,342064,A,M,58,4,Motorcyclists,4,Collision with a fixed object,1,ALPINE,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995211,T20180004307,1520294400000,1514764800000,1523836800000,Include in Current Equivalent Period Road Deaths Reporting,064500,327784,A,M,26,2,Drivers,1,Collision with vehicle,2,CAMPASPE,Country,N,Non Intersection,5377,Declared Road,,,1
1995212,T20180007799,1524614400000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,101500,329659,A,M,51,4,Motorcyclists,1,Collision with vehicle,2,COLAC OTWAY,Country,N,Non Intersection,5074,Declared Road,,,1
1995213,T20190000987,1547683200000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,152000,341320,A,M,39,2,Drivers,4,Collision with a fixed object,1,PYRENEES,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1
1995214,T20170017890,1505606400000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,133000,321592,A,M,29,4,Motorcyclists,4,Collision with a fixed object,2,MANNINGHAM,Melbourne - Inner East,N,Non Intersection,5931,Declared Road,,,1
1995215,T20170022514,1511568000000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,020000,324066,01,M,17,3,Passengers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,3
1995216,T20170022514,1511568000000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,020000,324066,02,M,36,3,Passengers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,3
1995217,T20170022514,1511568000000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,020000,324066,A,F,18,2,Drivers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,3
1995218,T20180023382,1544572800000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,205800,340168,A,F,74,2,Drivers,4,Collision with a fixed object,1,BOROONDARA,Melbourne - Inner East,N,Non Intersection,9999,Non Declared Road,,,1
1995219,T20190001893,1548892800000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,144000,59245,A,M,57,4,Motorcyclists,4,Collision with a fixed object,1,CAMPASPE,Country,I,Intersection,2590,Declared Road,,,1
1995220,T20160001789,1453766400000,1451606400000,1460764800000,Include in Current Equivalent Period Road Deaths Reporting,120000,298888,01,M,17,3,Passengers,4,Collision with a fixed object,1,ARARAT,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995221,T20160005706,1457913600000,1451606400000,1460764800000,Include in Current Equivalent Period Road Deaths Reporting,104000,54051,B,M,69,4,Motorcyclists,1,Collision with vehicle,2,LATROBE,Country,I,Intersection,2510,Declared Road,,,1
1995222,T20180024544,1546214400000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,023000,340744,02,M,20,1,Pedestrians,2,Struck Pedestrian,1,FRANKSTON,Metro,N,Non Intersection,5765,Declared Road,,,1
1995223,T20180015880,1534896000000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,170000,337064,A,M,38,2,Drivers,4,Collision with a fixed object,1,WHITTLESEA,Melbourne - North East,N,Non Intersection,9999,Non Declared Road,,,1
1995224,T20180010944,1528588800000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,190000,337048,A,M,52,2,Drivers,4,Collision with a fixed object,1,NORTHERN GRAMPIANS,Country,N,Non Intersection,5135,Declared Road,,,1
1995225,T20170001348,1485043200000,1483228800000,1492300800000,Include in Current Equivalent Period Road Deaths Reporting,165000,313168,11,M,52,3,Passengers,1,Collision with vehicle,5,SOUTH GIPPSLAND,Country,N,Non Intersection,2710,Declared Road,,,1
1995226,T20190000564,1547078400000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,185000,342919,A,M,51,4,Motorcyclists,4,Collision with a fixed object,1,MILDURA,Country,N,Non Intersection,2610,Declared Road,,,1
1995227,T20190002576,1549756800000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,105000,342065,A,M,57,4,Motorcyclists,1,Collision with vehicle,4,SOUTH GIPPSLAND,Country,I,Intersection,2180,Declared Road,,,1
1995228,T20160019890,1473552000000,1451606400000,1460764800000,Include in Future Road Deaths Reporting,114500,308200,A,M,28,2,Drivers,1,Collision with vehicle,2,HORSHAM,Country,N,Non Intersection,2110,Declared Road,,,1
1995229,T20140020896,1412812800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,190000,275783,01,M,51,3,Passengers,4,Collision with a fixed object,1,CARDINIA,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1
1995230,T20160023476,1477785600000,1451606400000,1460764800000,Include in Future Road Deaths Reporting,123500,309976,A,M,32,2,Drivers,4,Collision with a fixed object,1,HORSHAM,Country,N,Non Intersection,5273,Declared Road,,,1
1995231,T20180015837,1534809600000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,213000,337053,A,M,36,2,Drivers,4,Collision with a fixed object,1,ALPINE,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995232,T20160015973,1469145600000,1451606400000,1460764800000,Include in Future Road Deaths Reporting,003500,45192,01,M,18,5,Pillion Passengers,4,Collision with a fixed object,1,MOONEE VALLEY,Melbourne - North West,I,Intersection,5864,Declared Road,,,1
1995233,T20140000471,1389139200000,1388534400000,1397606400000,Include in Current Equivalent Period Road Deaths Reporting,154000,265665,A,M,42,4,Motorcyclists,1,Collision with vehicle,2,MACEDON RANGES,Country,N,Non Intersection,4013,Declared Road,,,1
1995234,T20160020947,1474848000000,1451606400000,1460764800000,Include in Future Road Deaths Reporting,094000,44950,01,F,89,1,Pedestrians,2,Struck Pedestrian,1,BRIMBANK,Melbourne - West,I,Intersection,5502,Declared Road,,,1
1995235,T20180017615,1537228800000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,071900,337959,01,M,34,1,Pedestrians,1,Collision with vehicle,3,BRIMBANK,Melbourne - West,N,Non Intersection,2900,Declared Road,,,1
1995236,T20170012788,1498780800000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,141900,320341,01,F,56,1,Pedestrians,2,Struck Pedestrian,1,MARIBYRNONG,Melbourne - West,N,Non Intersection,2500,Declared Road,,,1
1995237,T20160009765,1462320000000,1451606400000,1460764800000,Include in Future Road Deaths Reporting,183400,224048,01,F,61,1,Pedestrians,2,Struck Pedestrian,0,NILLUMBIK,Melbourne - North East,I,Intersection,9999,Non Declared Road,,,1
1995238,T20140011083,1401321600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,065600,271707,A,M,40,2,Drivers,3,Struck animal,1,CAMPASPE,Country,N,Non Intersection,2540,Declared Road,,,1
1995239,T20180021661,1542585600000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,102500,339353,01,M,92,1,Pedestrians,2,Struck Pedestrian,1,MOONEE VALLEY,Melbourne - Inner,N,Non Intersection,5824,Declared Road,,,1
1995240,T20180010769,1528416000000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,071100,863,01,M,69,1,Pedestrians,2,Struck Pedestrian,1,MORELAND,Melbourne - Inner,I,Intersection,2400,Declared Road,,,1
1995241,T20180021773,1542672000000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,141600,37610,B,F,28,6,Bicyclists,1,Collision with vehicle,2,STONNINGTON,Melbourne - Inner,I,Intersection,2080,Declared Road,,,1
1995242,T20180003099,1518825600000,1514764800000,1523836800000,Include in Current Equivalent Period Road Deaths Reporting,210500,327185,A,M,37,2,Drivers,1,Collision with vehicle,2,SHEPPARTON,Country,I,Intersection,9999,Non Declared Road,,,1
1995243,T20190006633,1554681600000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,055200,36276,01,M,27,3,Passengers,4,Collision with a fixed object,1,BASS COAST,Country,I,Intersection,4029,Declared Road,,,1
1995244,T20180019095,1539216000000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,161200,337961,B,M,28,4,Motorcyclists,1,Collision with vehicle,2,BALLARAT,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1
1995245,T20180000013,1514764800000,1514764800000,1523836800000,Include in Current Equivalent Period Road Deaths Reporting,014100,325492,A,M,40,2,Drivers,4,Collision with a fixed object,1,MOORABOOL,Ballarat,N,Non Intersection,2520,Declared Road,,,1
1995246,T20190005079,1552780800000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,104000,343336,A,M,78,2,Drivers,1,Collision with vehicle,2,CENTRAL GOLDFIELDS,Ballarat,I,Intersection,5327,Declared Road,,,1
1995247,T20140023451,1415750400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,023000,277792,01,M,32,3,Passengers,1,Collision with vehicle,2,DANDENONG,Melbourne - South East,I,Intersection,9999,Non Declared Road,,,1
1995248,T20170013947,1500336000000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,153500,319456,01,F,84,3,Passengers,4,Collision with a fixed object,1,MOIRA,Country,N,Non Intersection,2570,Declared Road,,,1
1995249,T20140006860,1396396800000,1388534400000,1397606400000,Include in Current Equivalent Period Road Deaths Reporting,164000,264431,06,M,12,3,Passengers,1,Collision with vehicle,3,EAST GIPPSLAND,Country,I,Intersection,4005,Declared Road,,,1
1995250,T20180021642,1542499200000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,205500,37721,01,M,73,1,Pedestrians,2,Struck Pedestrian,1,STONNINGTON,Melbourne - Inner,I,Intersection,5490,Declared Road,,,1
